"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-12-31,72353,"33015","FL","Miami-Fort Lauderdale","Miami-Dade","Country Club",442,242600,-0.00164609053497942,0.0206142196045435,0.123668364983789,0.128076479658902,-0.0110094301467385,"2007-01","2007-Q1",280400,-0.134807417974322,"2005-10"
2017-12-31,92668,"78759","TX","Austin","Travis","Austin",443,420900,0.0088686481303931,0.0211062590975255,0.0268358136130764,0.0754269628148319,0.032902105911933,"2017-04","2017-Q2",427100,-0.0145165066729103,"2017-03"
2017-12-31,69779,"28216","NC","Charlotte","Mecklenburg","Charlotte",444,147000,0.0130944176430048,0.0418143160878809,0.143968871595331,0.0956542577478539,0.0174893832985057,"2017-12","2017-Q4",147000,0,"2017-12"
2017-12-31,84241,"59901","MT","Kalispell","Flathead","Kalispell",445,203100,0.0144855144855145,0.0378129790495657,0.106209150326797,0.0723915446229231,0.00754140487502686,"2009-11","2009-Q4",208800,-0.0272988505747126,"2009-09"
2017-12-31,96966,"92648","CA","Los Angeles-Long Beach-Anaheim","Orange","Huntington Beach",446,912000,0.0051802050038576,0.0217342594667264,0.0191082802547771,0.0622539036208076,0.00381799987689013,"2006-05","2006-Q2",971900,-0.0616318551291285,"2005-10"
2017-12-31,74746,"38305","TN","Jackson","Madison","Jackson",447,126600,0.00237529691211401,0.00796178343949045,0.0419753086419753,0.0235332557068457,0.000395804984049786,"2007-10","2007-Q4",126800,-0.00157728706624606,"2007-09"
2017-12-31,77418,"45044","OH","Cincinnati","Butler","Middletown",448,123800,-0.000807102502017756,0.0130932896890344,0.0554134697357204,0.0472091431493158,0.00370946621740931,"2006-07","2006-Q3",124800,-0.00801282051282051,"2006-04"
2017-12-31,67657,"23322","VA","Virginia Beach","Chesapeake City","Chesapeake",449,333800,0.00270351456893962,0.00602772754671489,-0.0029868578255675,0.0230177423827067,-0.00358324119711273,"2006-08","2006-Q3",355800,-0.0618324901630129,"2005-10"
2017-12-31,74113,"37027","TN","Nashville","Williamson","Brentwood",450,558600,-0.00214362272240086,-0.0025,0.0227023068473087,0.0549032904137789,0.0232265399271308,"2017-10","2017-Q4",560600,-0.00356760613628255,"2017-09"
2017-12-31,92651,"78741","TX","Austin","Travis","Austin",451,209100,0.0160349854227405,0.0382323733862959,0.134563212154097,0.131581981260793,,"2017-12","2017-Q4",209100,0,"2017-12"
2017-12-31,72199,"32765","FL","Orlando","Seminole","Oviedo",452,281100,0.00178189593727726,0.00321199143468951,0.0477077897875512,0.0767684550705998,0.00318567132325276,"2006-06","2006-Q2",321800,-0.126476072094469,"2005-08"
2017-12-31,74379,"37421","TN","Chattanooga","Hamilton","Chattanooga",453,186400,0.00485175202156334,0.0185792349726776,0.0913348946135831,0.0393322611305067,0.0162820910650243,"2017-12","2017-Q4",186400,0,"2017-12"
2017-12-31,58291,"01201","MA","Pittsfield","Berkshire","Pittsfield",454,158000,0.00572883513685551,0.0128205128205128,0.0253082414016872,0.0190128020906755,-0.0074103254503588,"2007-03","2007-Q1",171100,-0.0765634132086499,"2005-11"
2017-12-31,83942,"59102","MT","Billings","Yellowstone","Billings",455,207700,0.0206388206388206,0.0390195097548774,0.0463476070528967,0.0462194692679925,0.0160083516709812,"2017-12","2017-Q4",207700,0,"2017-12"
2017-12-31,69768,"28205","NC","Charlotte","Mecklenburg","Charlotte",456,207400,0.018664047151277,0.0746113989637306,0.263863497867154,0.123427532595092,0.0386820721006012,"2017-12","2017-Q4",207400,0,"2017-12"
2017-12-31,66703,"20904","MD","Washington","Montgomery","Silver Spring",457,400600,-0.00323463548146305,-0.00323463548146305,0.012639029322548,0.0281978997904322,-0.0134304899447764,"2007-04","2007-Q2",495500,-0.191523713420787,"2004-12"
2017-12-31,97721,"94513","CA","San Francisco","Contra Costa","Brentwood",458,563600,0.00660832291480621,0.0169613857813064,0.0722983257229833,0.113530793743874,0.00746582935255713,"2006-01","2006-Q1",639300,-0.118410761770687,"2005-04"
2017-12-31,97549,"94087","CA","San Jose","Santa Clara","Sunnyvale",459,2043500,0.0252872409813858,0.0820757214720678,0.220582964998208,0.147588575256825,0.0762102745970146,"2017-12","2017-Q4",2043500,0,"2017-12"
2017-12-31,76410,"42701","KY","Elizabethtown","Hardin","Elizabethtown",460,152600,0.00726072607260726,0.0221031480241125,0.0531400966183575,0.02076111746281,0.0193384324093357,"2017-12","2017-Q4",152600,0,"2017-12"
2017-12-31,70847,"30067","GA","Atlanta","Cobb","Marietta",461,237200,0.00807479813004675,0.0290672451193059,0.105827505827506,0.100722200397844,0.0199405848724656,"2017-12","2017-Q4",237200,0,"2017-12"
2017-12-31,61175,"08759","NJ","New York","Ocean","Manchester",462,155300,0.0150326797385621,0.0230566534914361,0.050744248985115,0.0517023325326642,-0.0251247367059566,"2006-09","2006-Q3",222100,-0.30076542098154,"2003-03"
2017-12-31,70832,"30047","GA","Atlanta","Gwinnett","Lilburn",463,205200,0.00835380835380835,0.0254872563718141,0.0766002098635887,0.0919158754001044,0.00992656658345847,"2017-12","2017-Q4",205200,0,"2017-12"
2017-12-31,70991,"30263","GA","Atlanta","Coweta","Newnan",464,155100,0.00518470511989631,0.0137254901960784,0.0472653612424038,0.0703567319626688,0.0174196674838185,"2017-12","2017-Q4",155100,0,"2017-12"
2017-12-31,97567,"94112","CA","San Francisco","San Francisco","San Francisco",465,998600,0.0119578435346575,0.0348186528497409,0.153384153384153,0.122720709194593,0.034886955719351,"2017-12","2017-Q4",998600,0,"2017-12"
